Index        TIME           {-I(VIC)}        {-I(VB)}
0       0.00000000e+00   1.06066448e-05   1.06066453e-05
100     1.00000000e-07   1.06066446e-05   1.06066451e-05
200     2.00000000e-07   -4.46151438e-06  -4.46151390e-06
300     2.97500000e-07   -3.54398749e-06  -3.54398702e-06
400     3.82500000e-07   8.32726717e-07   8.32727185e-07
500     4.70500000e-07   5.44262320e-06   5.44262367e-06
600     5.58500000e-07   -4.51258562e-06  -4.51258515e-06
700     6.43100000e-07   -2.58306181e-07  -2.58305720e-07
800     7.29500000e-07   1.12720502e-05   1.12720507e-05
900     8.17500000e-07   -1.01786598e-06  -1.01786552e-06
1000    9.02500000e-07   -9.03895485e-06  -9.03895440e-06
1100    9.90500000e-07   -4.30199928e-06  -4.30199883e-06
1200    1.07850000e-06   9.20939803e-06   9.20939848e-06
1300    1.16070000e-06   9.89402914e-07   9.89403364e-07
1400    1.24850000e-06   2.42319485e-06   2.42319530e-06
1500    1.33650000e-06   1.50938594e-06   1.50938639e-06
1600    1.42150000e-06   6.64230625e-06   6.64230670e-06
1700    1.50950000e-06   6.11070854e-06   6.11070899e-06
1800    1.59750000e-06   -3.80560522e-06  -3.80560477e-06
1900    1.68230000e-06   8.44082908e-07   8.44083355e-07
2000    1.77050000e-06   -1.77633762e-06  -1.77633717e-06
2100    1.85750000e-06   4.93025705e-06   4.93025750e-06
2200    1.94250000e-06   -3.80886350e-06  -3.80886306e-06
2300    2.03050000e-06   -2.77976356e-06  -2.77976312e-06
2400    2.11750000e-06   8.62689328e-06   8.62689372e-06
2500    2.20250000e-06   4.43245439e-06   4.43245484e-06
2600    2.28950000e-06   -9.94841146e-07  -9.94840704e-07
2700    2.37650000e-06   -1.62809472e-06  -1.62809428e-06
2800    2.46150000e-06   9.66314606e-06   9.66314650e-06
2900    2.54950000e-06   4.28705599e-05   4.28705604e-05
3000    2.63750000e-06   1.28154258e-04   1.28154259e-04
3100    2.72250000e-06   2.53222351e-04   2.53222352e-04
3200    2.81050000e-06   4.02137851e-04   4.02137852e-04
3300    2.89850000e-06   5.02980568e-04   5.02980569e-04
3400    2.98350000e-06   5.38236110e-04   5.38236110e-04
3500    3.07150000e-06   5.43284170e-04   5.43284170e-04
3600    3.15950000e-06   5.43727241e-04   5.43727242e-04
3700    3.24450000e-06   5.48387311e-04   5.48387311e-04
3800    3.33250000e-06   5.42252645e-04   5.42252646e-04
3900    3.42000000e-06   5.43726347e-04   5.43726348e-04
4000    3.50550000e-06   5.46180096e-04   5.46180097e-04
4100    3.59350000e-06   5.57244875e-04   5.57244875e-04
4200    3.68010000e-06   5.52829754e-04   5.52829755e-04
4300    3.76650000e-06   5.52219710e-04   5.52219710e-04
4400    3.85450000e-06   5.44399538e-04   5.44399538e-04
4500    3.94030000e-06   5.36012829e-04   5.36012829e-04
4600    4.02750000e-06   5.21336896e-04   5.21336897e-04
4700    4.11550000e-06   5.04283651e-04   5.04283651e-04
4800    4.20070000e-06   4.54288226e-04   4.54288227e-04
4900    4.28850000e-06   3.52249710e-04   3.52249710e-04
5000    4.37650000e-06   2.22987454e-04   2.22987455e-04
5100    4.46150000e-06   1.29761884e-04   1.29761884e-04
5200    4.54950000e-06   5.56842248e-05   5.56842254e-05
5300    4.63750000e-06   2.46370791e-05   2.46370796e-05
5400    4.72250000e-06   1.45085625e-05   1.45085630e-05
5500    4.81050000e-06   6.91158041e-06   6.91158091e-06
5600    4.89850000e-06   5.52260434e-06   5.52260483e-06
5700    4.98350000e-06   6.61405969e-06   6.61406018e-06
5800    5.07150000e-06   4.75691555e-06   4.75691604e-06
5900    5.15950000e-06   8.02512271e-06   8.02512319e-06
6000    5.24450000e-06   6.82400526e-06   6.82400574e-06
6100    5.33250000e-06   3.45229380e-06   3.45229428e-06
6200    5.42000000e-06   4.63946271e-06   4.63946319e-06
6300    5.50410000e-06   1.91212755e-07   1.91213228e-07
6400    5.59250000e-06   2.66218053e-06   2.66218100e-06
6500    5.68000000e-06   3.75912611e-06   3.75912658e-06
6600    5.76550000e-06   3.80656168e-06   3.80656215e-06
6700    5.85350000e-06   -3.64062632e-06  -3.64062586e-06
6800    5.94010000e-06   -1.98699341e-06  -1.98699295e-06
